시도명,시군구명,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
강원도,삼척시,B000005005,삼척중앙초등학교,초등학교,1969-01-23,공립,본교,운영,강원도 삼척시 갈천동  183,강원도 삼척시 새천년도로  630-121(갈천동),7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.4663497,129.1617306,2017-09-05
강원도,삼척시,B000005006,삼척남초등학교,초등학교,1971-05-06,공립,본교,운영,강원도 삼척시 오분동  282-1,강원도 삼척시 동해대로  3783-22(오분동),7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.4239295,129.1880531,2017-09-05
강원도,삼척시,B000005007,서부초등학교,초등학교,1972-03-21,공립,본교,운영,강원도 삼척시 원당동  114,강원도 삼척시 오십천로  279(원당동),7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.4393849,129.1499558,2017-09-05
강원도,삼척시,B000005008,삼척초등학교,초등학교,1911-09-01,공립,본교,운영,강원도 삼척시 교동  566-2,,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.4489886,129.1669170,2017-09-05
강원도,삼척시,B000005009,진주초등학교,초등학교,1946-04-15,공립,본교,운영,강원도 삼척시 남양동  178,,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.4337493,129.1650389,2017-09-05
강원도,삼척시,B000005010,정라초등학교,초등학교,1941-07-19,공립,본교,운영,강원도 삼척시 정상동  344,강원도 삼척시 정상로3길  5(정상동),7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.4452402,129.1763525,2017-09-05
강원도,삼척시,B000005011,임원초등학교,초등학교,1934-04-06,공립,본교,운영,강원도 삼척시 원덕읍 임원리  800,,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.2355965,129.3418238,2017-09-05
강원도,삼척시,B000005012,호산초등학교,초등학교,1920-06-09,공립,본교,운영,강원도 삼척시 원덕읍 호산리  347,강원도 삼척시 원덕읍 삼척로  462-12,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.1780350,129.3345234,2017-09-05
강원도,삼척시,B000005013,미로초등학교,초등학교,1934-11-15,공립,본교,운영,강원도 삼척시 미로면 하거노리  325,강원도 삼척시 미로면 미로강변로1길  10-11,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.4146136,129.1151622,2017-09-05
강원도,삼척시,B000005014,근덕초등학교,초등학교,1922-05-17,공립,본교,운영,강원도 삼척시 근덕면 교가리  1124-2,,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.3805378,129.2248653,2017-09-05
강원도,삼척시,B000005015,맹방초등학교,초등학교,1946-12-12,공립,본교,운영,강원도 삼척시 근덕면 상맹방리  171-2,강원도 삼척시 근덕면 삼척로  3884-4,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.3986093,129.2134913,2017-09-05
강원도,삼척시,B000005016,신동초등학교,초등학교,1949-09-16,공립,본교,운영,강원도 삼척시 신기면 신기리  356-4,강원도 삼척시 신기면 강원남부로  2997,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,,37.3508389,129.0820557,2017-09-05
